arm,seed,update,env_steps,mean_return,goal_rate,cum_collisions,n_episodes
shielded,2,63,262144,10.47195412616711,0.0,0,22
shielded,2,64,266240,10.248215579499943,0.0,0,22
shielded,2,65,270336,10.69332929555929,0.0,0,23
shielded,2,66,274432,8.354536989622716,0.0,0,25
shielded,2,67,278528,12.205997560346303,0.04,0,25
shielded,2,68,282624,8.537663705008361,0.0,0,22
shielded,2,69,286720,13.19595930231718,0.037037037037037035,0,27
shielded,2,70,290816,7.402673620171806,0.0,0,24
shielded,2,71,294912,8.845024551751475,0.0,0,22
shielded,2,72,299008,12.16489299913288,0.0,0,23
shielded,2,73,303104,13.112210510847774,0.034482758620689655,0,29
shielded,2,74,307200,15.668533964217813,0.04,0,25
shielded,2,75,311296,10.348693165831575,0.0,0,26
shielded,2,76,315392,12.067011616010646,0.041666666666666664,0,24
shielded,2,77,319488,9.562806665815952,0.0,0,23
shielded,2,78,323584,9.85541495546523,0.0,0,27
shielded,2,79,327680,12.939260969125028,0.045454545454545456,0,22
shielded,2,80,331776,12.448202490478495,0.0,0,26
shielded,2,81,335872,10.930014980568151,0.0,0,22
shielded,2,82,339968,11.690621912862705,0.0,0,27
shielded,2,83,344064,10.270926597681276,0.0,0,26
shielded,2,84,348160,11.803999834478743,0.0,0,25
shielded,2,85,352256,8.709169059219652,0.0,0,24
shielded,2,86,356352,9.044753641712127,0.0,0,22
shielded,2,87,360448,10.54538984193234,0.0,0,22
shielded,2,88,364544,12.133476649200887,0.0,0,25
shielded,2,89,368640,10.96848363565093,0.043478260869565216,0,23
shielded,2,90,372736,10.979635497479258,0.0,0,24
shielded,2,91,376832,11.456786454659143,0.0,0,27
shielded,2,92,380928,14.196236189844749,0.07407407407407407,0,27
shielded,2,93,385024,10.367380828466374,0.0,0,29
shielded,2,94,389120,10.116879187761823,0.03333333333333333,0,30
shielded,2,95,393216,8.418982754177897,0.0,0,27
shielded,2,96,397312,10.026237157536649,0.0,0,25
shielded,3,0,4096,3.4444313169551073,0.0,0,20
shielded,3,1,8192,4.308571260008238,0.0,0,23
shielded,3,2,12288,8.213085508114755,0.0,0,20
shielded,3,3,16384,4.6822796692635755,0.0,0,24
shielded,3,4,20480,6.119266937369752,0.0,0,23
shielded,3,5,24576,6.9081030059548985,0.0,0,24
shielded,3,6,28672,7.522874621938866,0.0,0,24
shielded,3,7,32768,8.515640778223633,0.0,0,25
shielded,3,8,36864,5.696351349342502,0.0,0,22
shielded,3,9,40960,7.579127463581655,0.0,0,27
shielded,3,10,45056,7.425998346318667,0.0,0,23
